UMAP1,UMAP2,Group,Sensitivity,Intensity_LowerQuartileIntensity_pLCK,pLCK_x_AreaShape_Area,subtype
9.01113,13.613577,SJ65,1,0.005910142,5.796494249,TAL1 DP-like with LMO2::TRB
11.609557,12.078838,SJ65,1,0.00142399,2.342877248,TAL1 DP-like with LMO2::TRB
10.1339445,5.8887296,SJ65,1,-0.005320498,-1.353362894,TAL1 DP-like with LMO2::TRB
13.288409,8.224084,SJ65,1,0.001912279,3.026584374,TAL1 DP-like with LMO2::TRB
13.163959,9.548975,SJ65,1,0.001057774,4.170962948,TAL1 DP-like with LMO2::TRB
6.332256,8.5825405,SJ65,1,-0.01121048,-2.070960398,TAL1 DP-like with LMO2::TRB
7.971676,7.7177954,SJ65,1,-0.004069258,-0.5462546,TAL1 DP-like with LMO2::TRB
8.5029545,12.797589,SJ65,1,0.002888856,2.215382048,TAL1 DP-like with LMO2::TRB
11.231787,12.405304,SJ65,1,0.002705749,3.895836912,TAL1 DP-like with LMO2::TRB
12.048864,10.415434,SJ65,1,0.000966219,1.363170735,TAL1 DP-like with LMO2::TRB
7.6074653,9.384813,SJ65,1,-0.000834345,0.538245488,TAL1 DP-like with LMO2::TRB
10.980224,11.949955,SJ65,1,0.000691558,1.469386908,TAL1 DP-like with LMO2::TRB
10.687487,12.105349,SJ65,1,0.000371117,1.54136268,TAL1 DP-like with LMO2::TRB
10.178179,12.976613,SJ65,1,0.001973316,4.37173268,TAL1 DP-like with LMO2::TRB
8.315442,10.252198,SJ65,1,-0.003336825,-0.537792441,TAL1 DP-like with LMO2::TRB
9.631878,5.4748993,SJ65,1,-0.004572806,-1.125179632,TAL1 DP-like with LMO2::TRB
7.4981847,4.665727,SJ65,1,-0.011591956,-5.33502801,TAL1 DP-like with LMO2::TRB
11.512877,5.7588663,SJ65,1,-0.007670387,-1.72695501,TAL1 DP-like with LMO2::TRB
8.418416,11.8840275,SJ65,1,0.00392647,2.697082767,TAL1 DP-like with LMO2::TRB
7.3903933,10.106152,SJ65,1,-0.006480183,-0.989234454,TAL1 DP-like with LMO2::TRB
12.19391,9.190841,SJ65,1,0.001881761,3.733723851,TAL1 DP-like with LMO2::TRB
10.574664,13.613107,SJ65,1,0.003865433,8.201435726,TAL1 DP-like with LMO2::TRB
12.734921,11.053727,SJ65,1,0.001362955,1.178178938,TAL1 DP-like with LMO2::TRB
8.396829,10.2582,SJ65,1,-0.004984799,-1.264706184,TAL1 DP-like with LMO2::TRB
12.222029,10.689853,SJ65,1,-0.000391834,1.841893084,TAL1 DP-like with LMO2::TRB
8.85633,13.599113,SJ65,1,0.006978275,5.222755316,TAL1 DP-like with LMO2::TRB
12.803092,10.98202,SJ65,1,0.002766785,3.638273634,TAL1 DP-like with LMO2::TRB
11.459194,6.4142537,SJ65,1,-0.004404956,-0.34595999,TAL1 DP-like with LMO2::TRB
8.546518,7.6572094,SJ65,1,-0.002741723,0.069386219,TAL1 DP-like with LMO2::TRB
11.088606,13.920871,SJ65,1,0.005345559,9.964308606,TAL1 DP-like with LMO2::TRB
8.660239,11.453166,SJ65,1,0.004445277,4.90668009,TAL1 DP-like with LMO2::TRB
9.939281,6.387845,SJ65,1,-0.000407093,0.900505712,TAL1 DP-like with LMO2::TRB
